time,y,y_a,motion,ultra,ultra_high,ultra_low,ultra_median
1554990082.6465,-13.733113,0.492188,1,6.000000,-47.111049,111.548509,4.000000
1554990082.6465,1.821284,-0.356445,1,2.000000,-5.111105,100.593658,4.000000
1554990082.6465,15.405369,-0.267578,1,2.000000,-0.511110,90.734292,3.000000
1554990082.6465,15.502841,-0.276367,1,2.000000,-0.051111,81.860863,2.000000
1554990082.6465,17.261900,-0.620117,1,126.000000,12.394889,86.274777,2.000000
1554990082.6465,49.815685,-0.724609,1,517.000000,40.339489,129.347299,4.000000
1554990082.6465,-9.364380,0.345703,1,3.000000,-47.366051,116.712569,4.000000
1554990082.6465,-1.129856,-0.216797,0,3.000000,-4.736605,105.341312,3.000000
1554990082.6465,15.763581,-0.274414,0,2.000000,-0.573661,95.007181,3.000000
1554990082.6465,12.234006,-0.211914,0,3.000000,0.042634,85.806463,3.000000
1554990082.6465,19.597890,-0.524414,0,5.000000,0.204263,77.725817,3.000000
1554990082.6465,35.201311,-0.602539,0,3.000000,-0.179574,70.253235,3.000000
1554990082.6465,17.081654,-0.266602,0,2.000000,-0.117957,63.427911,3.000000
1554990082.6465,16.147180,-0.296875,0,2.000000,-0.011796,57.285120,3.000000
1554990082.6465,17.677010,-0.314453,0,2.000000,-0.001180,51.756608,3.000000
1554990082.6465,19.357817,-0.358398,0,2.000000,-0.000118,46.780947,2.000000
1554990082.6465,37.461874,-0.889648,1,8.000000,0.599988,42.902853,3.000000
1554990082.6465,36.172634,-0.694336,1,6.000000,-0.140001,39.212567,3.000000
1554990082.6465,-32.994496,1.387695,1,6.000000,-0.014000,35.891311,3.000000
1554990082.6465,11.226298,-0.246094,1,2.000000,-0.401400,32.502180,3.000000
1554990082.6465,16.342441,-0.282227,1,2.000000,-0.040140,29.451962,3.000000
1554990082.6465,15.376694,-0.269531,1,3.000000,0.095986,26.806766,3.000000
1554990082.6465,20.662245,-0.748047,1,518.000000,51.509599,75.926089,3.000000
1554990082.6465,21.319461,-0.519531,1,14.000000,-45.249040,69.733480,3.000000
1554990082.6465,-17.170017,0.528320,1,6.000000,-5.324904,63.360132,3.000000
1554990082.6465,22.285323,0.017578,1,3.000000,-0.832490,57.324119,3.000000
1554990082.6465,15.864418,-0.273438,1,2.000000,-0.183249,51.791707,3.000000
1554990082.6465,14.282993,-0.254883,1,2.000000,-0.018325,46.812536,3.000000
1554990082.6465,13.159599,-0.402344,0,6.000000,0.398168,42.731283,3.000000
1554990082.6465,52.390943,-0.746094,0,517.000000,51.139817,90.158154,3.000000
1554990082.6465,9.750988,-0.252930,0,4.000000,-46.186018,81.542339,3.000000
1554990082.6465,-48.916209,-1.516602,0,3.000000,-4.718602,73.688105,3.000000
1554990082.6465,17.324233,-0.307617,0,2.000000,-0.571860,66.519295,3.000000
1554990082.6465,15.724355,-0.277344,0,2.000000,-0.057186,60.067365,3.000000
