time,y,y_a,motion,ultra,ultra_high,ultra_low,ultra_median
1554989991.3892,10.873513,-0.190430,1,3.000000,-0.501020,110.325928,3.000000
1554989991.3892,10.477917,-0.191406,1,2.000000,-0.150102,99.493335,3.000000
1554989991.3892,8.934096,-0.291992,1,6.000000,0.384990,90.144002,3.000000
1554989991.3892,57.866992,-0.666016,1,517.000000,51.138499,132.829602,3.000000
1554989991.3892,10.232118,-0.322266,1,3.000000,-46.286150,119.846642,3.000000
1554989991.3892,35.900076,-0.893555,1,3.000000,-4.628615,108.161977,3.000000
1554989991.3892,11.645861,-0.206055,1,3.000000,-0.462862,97.645780,3.000000
1554989991.3892,11.791078,-0.198242,1,3.000000,-0.046286,88.181202,3.000000
1554989991.3892,17.013203,-0.466797,1,4.000000,0.095371,79.763082,3.000000
1554989991.3892,27.976226,-0.634766,1,6.000000,0.209537,72.386773,3.000000
1554989991.3892,-31.600080,0.693359,1,5.000000,-0.079046,65.648096,4.000000
1554989991.3892,10.104695,-0.176758,0,2.000000,-0.307905,59.283286,3.000000
1554989991.3892,12.456786,-0.216797,0,2.000000,-0.030790,53.554958,3.000000
1554989991.3892,11.719587,-0.214844,0,2.000000,-0.003079,48.399462,3.000000
1554989991.3892,12.087975,-0.259766,0,2.000000,-0.000308,43.759516,3.000000
1554989991.3892,73.299907,-1.380859,0,517.000000,51.499969,91.083564,3.000000
1554989991.3892,25.043648,-0.635742,0,4.000000,-46.150003,82.375208,3.000000
1554989991.3892,20.274974,-0.617188,0,2.000000,-4.815000,74.337687,3.000000
1554989991.3892,12.040793,-0.211914,0,2.000000,-0.481500,67.103918,3.000000
1554989991.3892,11.810284,-0.196289,0,2.000000,-0.048150,60.593526,3.000000
1554989991.3892,5.354928,-0.341797,0,5.000000,0.295185,55.034174,3.000000
1554989991.3892,52.960058,-1.249023,1,13.000000,0.829518,50.830756,3.000000
1554989991.3892,0.095268,-0.002930,1,4.000000,-0.817048,46.147681,3.000000
1554989991.3892,0.315055,-0.010742,1,2.000000,-0.281705,41.732913,3.000000
1554989991.3892,11.378684,-0.197266,1,2.000000,-0.028170,37.759621,3.000000
1554989991.3892,11.142553,-0.192383,1,2.000000,-0.002817,34.183659,3.000000
