time,y,y_a,motion,ultra,ultra_high,ultra_low,ultra_median
1554990822.1455,25.912266,-0.458008,0,2.000000,-0.000976,59.913271,2.000000
1554990822.1455,25.551585,-0.448242,0,2.000000,-0.000098,54.121943,2.000000
1554990822.1455,20.458534,-0.582031,0,5.000000,0.299990,49.209749,2.000000
1554990822.1455,38.041320,-0.652344,1,517.000000,51.229999,95.988774,2.000000
1554990822.1455,37.727631,-0.252930,1,27.000000,-43.877000,89.089897,2.000000
1554990822.1455,-21.941516,0.599609,1,5.000000,-6.587700,80.680907,3.000000
1554990822.1455,24.703713,-0.422852,1,2.000000,-0.958770,72.812816,2.000000
1554990822.1455,24.736686,-0.421875,1,2.000000,-0.095877,65.731535,2.000000
1554990822.1455,25.058113,-0.429688,1,2.000000,-0.009588,59.358381,2.000000
1554990822.1455,25.662624,-0.433594,1,2.000000,-0.000959,53.622543,2.000000
1554990822.1455,25.322851,-0.439453,1,2.000000,-0.000096,48.460289,2.000000
1554990822.1455,5.190846,-0.697266,1,13.000000,1.099990,44.914260,2.000000
1554990822.1455,61.740673,-0.520508,1,517.000000,50.509999,92.122834,2.000000
1554990822.1455,6.711909,-0.083008,1,25.000000,-44.149000,85.410551,3.000000
1554990822.1455,31.486214,-1.224609,1,2.000000,-6.714900,77.069496,2.000000
1554990822.1455,24.555736,-0.425781,0,2.000000,-0.671490,69.562546,2.000000
1554990822.1455,24.689109,-0.432617,0,2.000000,-0.067149,62.806291,2.000000
1554990822.1455,25.560122,-0.416992,0,2.000000,-0.006715,56.725662,2.000000
1554990822.1455,25.062806,-0.432617,0,2.000000,-0.000671,51.253096,2.000000
1554990822.1455,22.519948,-0.705078,0,6.000000,0.399933,46.727786,2.000000
1554990822.1455,51.368385,-0.436523,0,517.000000,51.139993,93.755008,2.000000
1554990822.1455,16.889230,-0.478516,0,4.000000,-46.186001,84.779507,2.000000
1554990822.1455,-39.117880,1.040039,0,5.000000,-4.518600,76.801556,4.000000
1554990822.1455,24.944928,-0.417969,1,2.000000,-0.751860,69.321401,2.000000
1554990822.1455,25.577589,-0.438477,1,2.000000,-0.075186,62.589261,2.000000
1554990822.1455,24.785496,-0.415039,1,2.000000,-0.007519,56.530335,2.000000
1554990822.1455,25.830074,-0.445312,1,2.000000,-0.000752,51.077301,2.000000
1554990822.1455,17.378228,-0.539062,1,6.000000,0.399925,46.569571,2.000000
1554990822.1455,15.571729,-0.240234,1,517.000000,51.139992,93.612614,2.000000
1554990822.1455,20.612591,-0.164062,1,27.000000,-43.886001,86.951352,2.000000
1554990822.1455,-18.015017,0.390625,1,5.000000,-6.588600,78.756217,4.000000
1554990822.1455,28.534751,-0.432617,1,2.000000,-0.958860,71.080596,4.000000
1554990822.1455,24.370078,-0.416016,1,2.000000,-0.095886,64.172536,2.000000
1554990822.1455,24.824338,-0.416992,1,2.000000,-0.009589,57.955282,2.000000
1554990822.1455,24.024274,-0.405273,1,2.000000,-0.000959,52.359754,2.000000
1554990822.1455,24.439188,-0.418945,1,2.000000,-0.000096,47.323779,2.000000
1554990822.1455,19.992777,-0.504883,0,5.000000,0.299990,43.091401,2.000000
