times, motion, button, ultra
0.310684,0,0,24
0.311748,0,0,24
0.312885,0,0,24
0.313957,0,0,24
0.315005,0,0,24
0.316053,0,0,24
0.317166,1,0,24
0.318222,1,0,24
0.319263,1,0,24
0.320315,1,0,24
0.321418,1,0,24
0.322499,1,0,24
0.323537,1,0,24
0.324656,1,0,22
0.325759,1,0,22
0.326809,1,0,23
0.327865,1,0,23
0.328971,1,0,23
0.33006,1,0,22
0.331103,0,0,50
0.332216,0,0,50
0.333279,0,0,50
0.334349,0,0,50
0.335408,0,0,50
0.336544,0,0,50
0.337623,0,0,50
0.338664,0,0,51
0.339733,0,0,50
0.340875,0,0,50
0.341933,0,0,50
0.342975,0,0,50
0.344107,0,0,50
0.345192,0,0,50
0.346235,0,0,50
0.347294,0,0,50
0.348452,0,0,50
0.349521,0,0,50
0.350566,0,0,50
0.35171,0,0,50
0.352778,0,0,50
0.353817,0,0,50
0.354869,0,0,50
0.356012,0,1,50
0.35707,0,0,50
0.358114,0,0,50
0.359274,0,0,50
0.360511,0,0,50
0.36168,0,0,50
0.362733,0,0,50
0.363771,0,0,50
0.364831,0,0,50
0.36598,0,0,50
0.367052,0,0,50
0.368096,0,0,50
0.369235,0,0,50
0.370296,0,0,50
0.371348,0,0,50
0.37241,0,0,50
0.373579,0,1,50
0.374659,0,0,50
0.3762,0,0,50
0.377336,0,0,50
0.378389,0,0,50
0.379552,0,0,50
0.380631,0,0,50
0.381676,0,0,50
0.382752,0,0,50
0.383812,0,0,50
0.384865,0,0,50
0.38591,0,0,50
0.387075,0,0,50
0.388165,0,0,50
0.389207,0,0,50
0.390308,0,0,50
0.391408,0,1,50
0.392446,0,0,50
0.393487,0,0,50
0.39463,0,0,50
0.395686,0,0,50
0.396732,0,0,50
0.397812,0,0,50
0.398952,0,0,50
0.400023,0,0,50
0.401082,0,0,50
0.40218,0,0,50
0.403252,0,0,50
0.40429,0,0,50
0.405399,0,0,50
0.406456,0,0,50
0.407523,0,0,50
0.408575,0,0,50
0.409664,0,0,50
0.410718,0,0,50
0.411775,0,1,50
0.412812,0,0,50
0.413908,0,0,50
0.41506,0,0,50
0.416125,0,0,50
0.417175,0,0,50
0.418283,1,0,50
0.41935,1,0,49
0.420396,1,0,46
0.421524,1,0,45
0.422606,1,0,44
0.423663,1,0,44
0.424721,1,0,45
0.425831,1,0,44
0.426911,1,0,45
0.427965,1,0,45
0.42906,1,0,44
0.430126,1,0,45
0.431185,1,0,45
0.432238,0,0,45
0.43337,0,0,45
0.434438,0,1,45
0.435497,0,0,45
0.436563,0,0,45
0.437701,0,0,45
0.438766,0,0,45
0.43981,0,0,45
0.440915,0,0,45
0.442061,0,0,45
0.443118,0,0,45
0.444201,0,0,45
0.445355,0,0,45
0.446427,0,0,45
0.44747,0,0,45
0.448569,0,0,45
0.449667,0,0,45
0.450716,0,1,45
0.451775,0,0,45
0.452913,0,0,45
0.453983,0,0,45
0.455031,0,0,45
0.456127,0,0,45
0.457231,0,0,45
0.458283,0,0,45
0.459337,0,0,45
0.460434,0,0,45
0.461505,0,0,45
0.462547,0,0,45
0.463602,0,0,45
0.464712,0,0,45
0.465772,1,0,45
0.466823,1,0,45
0.467896,1,0,45
0.469001,1,0,45
0.470074,1,0,37
0.471126,1,0,38
0.472226,1,0,38
0.473326,1,0,38
0.474377,1,0,38
0.475439,1,0,38
0.47656,1,0,38
0.477679,1,0,38
0.478734,1,0,38
0.479843,1,0,38
0.480924,0,0,38
0.481968,0,0,38
0.483206,0,0,38
0.484276,0,0,38
0.485823,0,0,38
0.486936,0,0,38
0.488023,0,0,38
0.489069,0,0,38
0.490121,0,0,38
0.491239,0,0,38
0.492311,0,0,38
0.49335,0,0,38
0.49443,0,0,38
0.495481,0,1,38
0.496539,0,0,38
